apn,prod_nbr,pim_cls_desc,pim_ctgry_desc,pim_grp_desc,pim_prod_desc_lng,total_allowance_for_flyer,ctch_wt_ind,div_cnt,cust_cnt,ttl_pa,ttl_qty_shipped,pa_per_cs,ttl_wght_shipped,pa_per_lb,ttl_tgp,grss_tgp_cs,grss_tgp_lb,ttl_tgp_uom,ttl_pa_uom,ttl_qty_ordered,ttl_prd_allowance,ttl_prd_allwnc_uom,sell_prc_per_uom,dwacost_per_uom,tgppa_uom,tgppa_pls_prdctallwnc_uom,time_frame,qty_pre6,qty_pre5,qty_pre4,qty_pre3,qty_pre2,qty_pre1,qty_promo,qty_post1,qty_post2,qty_post3,cust_cnt_pre6,cust_cnt_pre5,cust_cnt_pre4,cust_cnt_pre3,cust_cnt_pre2,cust_cnt_pre1,cust_count_promo,cust_cnt_post1,cust_cnt_post2,cust_cnt_post3,qty_per_cust_pre6,qty_per_cust_pre5,qty_per_cust_pre4,qty_per_cust_pre3,qty_per_cust_pre2,qty_per_cust_pre1,qty_per_cust_promo,qty_per_cust_post1,qty_per_cust_post2,qty_per_cust_post3
7328693,7328693,OILS & SHORTENING,"OIL, FRYING & SALAD","OIL, FRYING, LIQUID, PEANUT","SHORTENING, FRYING PEANUT LIQUID CLEAR TFF OIL",3,N,47,402,20336.61252,3593,5.660065,125755,0.161716,7590.62,2.112613,0.06036,2.112613,5.660065,3594,-14372,-4,38.570932,36.458319,7.772678,3.772678,2016nf7 (2weeks),1,3,0,0,0,0,34,28,39,35,1,1,0,0,0,0,14,6,7,10,1,3,0,0,0,0,2.428571,4.666667,5.571429,3.5
1005891,1005891,POULTRY,"CHICKEN, FURTHER PROCESSED, REF & FZN","CHICKEN, WING & WING SECTIONS, BATTERED, BREADED, COOKED, FROZEN","CHICKEN, WING 1ST-&-2ND-JOINT BREADED SEASONED 12-16 COUNT COOKED FROZEN GO",3,N,36,775,25426.60213,3508,7.248176,52620,0.483212,10412.5,2.968216,0.197881,2.968216,7.248176,3508,-10524,-3,52.486035,49.649806,10.216392,7.216392,2016nf7 (2weeks),6,14,0,0,0,0,93,62,38,51,5,5,0,0,0,0,48,28,19,24,1.2,2.8,0,0,0,0,1.9375,2.214286,2,2.125
7779093,7779093,"PRODUCE, FRESH","LETTUCE, SPINACH & MICRO GREENS, FRESH","LETTUCE, ICEBERG, FRESH, VALUE ADDED","LETTUCE, ICEBERG GREEN LEAF BETTER BURGER BAG FRESH REF",2,N,37,1332,12482.08141,3403,3.667964,34030,0.366796,14578.83,4.284111,0.428411,4.284111,3.667964,3416,-6806,-2,24.302442,20.018331,7.952075,5.952075,2016nf7 (2weeks),3.5,10.5,0,0,0,0,169,123.5,106,86.5,5,7,0,0,0,0,105,73,69,47,0.7,1.5,0,0,0,0,1.609524,1.691781,1.536232,1.840426
1330083,1330083,PROCESSED MEAT,HOT DOGS & CORN DOGS,"HOT DOGS, BEEF, FROZEN","HOT DOG, ALL-BEEF 4:1 6"" ROLLER GRILL COOKED FROZEN",2.5,N,40,693,16478.84,2290,7.196,22900,0.7196,14663.44,6.403249,0.640325,6.403249,7.196,2290,-5725,-2.5,30.913131,24.509882,13.599249,11.099249,2016nf7 (2weeks),13,19,0,0,0,0,177,82,72,41,9,9,0,0,0,0,60,29,35,20,1.444444,2.111111,0,0,0,0,2.95,2.827586,2.057143,2.05
3938214,3938214,PORK,"HAM, BONELESS, SMOKED/CURED","HAM, BONELESS, NATURAL JUICE OR NATURALLY CURED, REFRIGERATED","HAM, BONELESS D-SHAPED SMOKED APPLEWOOD REF DELI-FACED ALL NATURAL PORK",0.4,Y,54,1009,16735.98895,2261.5,7.400393,36189.63,0.462453,27862.67,12.320438,0.769908,0.769908,0.462453,2261.5,-14472.89,-0.399918,4.027606,3.257699,1.232361,0.832443,2016nf7 (2weeks),1,4,0,0,0,0,56,30,32,45,2,3,0,0,0,0,42,17,23,25,0.5,1.333333,0,0,0,0,1.333333,1.764706,1.391304,1.8
4681433,4681433,DAIRY,BUTTER,"BUTTER, REFRIGERATED","BUTTER, SOLID AA UNSALTED REF",4,N,10,964,11712.75,2231,5.25,66930,0.175,17953.76,8.047405,0.268247,8.047405,5.25,2231,-8924,-4,80.370117,72.322712,13.297405,9.297405,2016nf7 (2weeks),11,5,0,0,0,0,65,41,48,52,10,5,0,0,0,0,52,31,28,30,1.1,1,0,0,0,0,1.25,1.322581,1.714286,1.733333
1033752,1033752,POULTRY,"CHICKEN, FURTHER PROCESSED, REF & FZN","CHICKEN, WING & WING SECTIONS, BATTERED, BREADED, COOKED, FROZEN","CHICKEN, WING 1ST-&-2ND-JOINT BREADED HOT & SPICY 12-16 COUNT COOKED FROZEN",3,N,28,424,14754.05369,2183,6.758614,32745,0.450574,6562.21,3.006051,0.200403,3.006051,6.758614,2184,-6549,-3,51.337013,50.393633,9.764665,6.764665,2016nf7 (2weeks),9,7,0,0,0,0,64,35,41,33,3,4,0,0,0,0,27,15,13,12,3,1.75,0,0,0,0,2.37037,2.333333,3.153846,2.75
7330095,7330095,PROCESSED MEAT,HOT DOGS & CORN DOGS,"HOT DOGS, BEEF, FROZEN","HOT DOG, ALL-BEEF 8:1 6"" ROLLER GRILL COOKED FROZEN",2.5,N,47,640,15320.284,2129,7.196,21290,0.7196,12419.98,5.833715,0.583372,5.833715,7.196,2129,-5322.5,-2.5,30.353156,24.519441,13.029715,10.529715,2016nf7 (2weeks),2,8,0,0,0,0,187,103,88,84,2,5,0,0,0,0,74,43,42,30,1,1.6,0,0,0,0,2.527027,2.395349,2.095238,2.8
9855909,9855909,DISPOSABLES,"STRAWS, STIRRERS, STEAK MARKERS, SKEWERS & OTHER",STRAWS,"STRAW, JUMBO 7.75"" TRANSLUCENT WRAPPED PAPER STANDARD POLYPROPYLENE BOX",4,N,53,1702,17664.58336,1970,8.966794,9987.9,1.768598,12153.74,6.169411,1.216846,6.169411,8.966794,1970,-7880,-4,28.17899,22.009579,15.136205,11.136205,2016nf7 (2weeks),20.5,16.2,0,0,0,0,118,23.3,45.6,52.8,21,16,0,0,0,0,105,36,44,54,0.97619,1.0125,0,0,0,0,1.12381,0.647222,1.036364,0.977778
7779077,7779077,"PRODUCE, FRESH","LETTUCE, SPINACH & MICRO GREENS, FRESH","LETTUCE, ICEBERG, FRESH, VALUE ADDED","LETTUCE, ICEBERG GREEN LEAF BETTER BURGER BULK FRESH REF",2,N,14,527,4871.67535,1326,3.673963,13260,0.367396,5232.2,3.945852,0.394585,3.945852,3.673963,1327,-2652,-2,22.197308,18.251456,7.619815,5.619815,2016nf7 (2weeks),1,0,0,0,0,0,76,74,50,40,1,0,0,0,0,0,34,24,22,18,1,0,0,0,0,0,2.235294,3.083333,2.272727,2.222222
