apn,prod_nbr,pim_cls_desc,pim_ctgry_desc,pim_grp_desc,pim_prod_desc_lng,total_allowance_for_flyer,ctch_wt_ind,div_cnt,cust_cnt,ttl_pa,ttl_qty_shipped,pa_per_cs,ttl_wght_shipped,pa_per_lb,ttl_tgp,grss_tgp_cs,grss_tgp_lb,ttl_tgp_uom,ttl_pa_uom,ttl_qty_ordered,ttl_prd_allowance,ttl_prd_allwnc_uom,sell_prc_per_uom,dwacost_per_uom,tgppa_uom,tgppa_pls_prdctallwnc_uom,time_frame,qty_pre6,qty_pre5,qty_pre4,qty_pre3,qty_pre2,qty_pre1,qty_promo,qty_post1,qty_post2,qty_post3,qty_post4,qty_post5,cust_cnt_pre6,cust_cnt_pre5,cust_cnt_pre4,cust_cnt_pre3,cust_cnt_pre2,cust_cnt_pre1,cust_count_promo,cust_cnt_post1,cust_cnt_post2,cust_cnt_post3,cust_cnt_post4,cust_cnt_post5,qty_per_cust_pre6,qty_per_cust_pre5,qty_per_cust_pre4,qty_per_cust_pre3,qty_per_cust_pre2,qty_per_cust_pre1,qty_per_cust_promo,qty_per_cust_post1,qty_per_cust_post2,qty_per_cust_post3
7328693,7328693,OILS & SHORTENING,"OIL, FRYING & SALAD","OIL, FRYING, LIQUID, PEANUT","SHORTENING, FRYING PEANUT LIQUID CLEAR TFF OIL",3,N,47,402,20336.61251869,3593.0000,5.660065,125755.00,0.161716,7590.62000000,2.112613,0.060360,2.112613,5.660065,3594.00,-14372.00,-4.000000,38.570932,36.458319,7.772678,3.772678,2016nf7 (2weeks),1.0000,2.0000,0.0000,0.0000,0.0000,0.0000,269.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1,0,0,0,0,49,0,0,0,0,0,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,5.489796,0.000000,0.000000,0.000000
1005891,1005891,POULTRY,"CHICKEN, FURTHER PROCESSED, REF & FZN","CHICKEN, WING & WING SECTIONS, BATTERED, BREADED, COOKED, FROZEN","CHICKEN, WING 1ST-&-2ND-JOINT BREADED SEASONED 12-16 COUNT COOKED FROZEN GO",3,N,36,775,25426.60212944,3508.0000,7.248176,52620.00,0.483212,10412.50000000,2.968216,0.197881,2.968216,7.248176,3508.00,-10524.00,-3.000000,52.486035,49.649806,10.216392,7.216392,2016nf7 (2weeks),6.0000,9.0000,0.0000,0.0000,0.0000,0.0000,111.0000,0.0000,0.0000,0.0000,0.0000,10.0000,5,6,0,0,0,0,66,0,0,0,0,5,1.200000,1.500000,0.000000,0.000000,0.000000,0.000000,1.681818,0.000000,0.000000,0.000000
7779093,7779093,"PRODUCE, FRESH","LETTUCE, SPINACH & MICRO GREENS, FRESH","LETTUCE, ICEBERG, FRESH, VALUE ADDED","LETTUCE, ICEBERG GREEN LEAF BETTER BURGER BAG FRESH REF",2,N,37,1332,12482.08140812,3403.0000,3.667964,34030.00,0.366796,14578.83000000,4.284111,0.428411,4.284111,3.667964,3416.00,-6806.00,-2.000000,24.302442,20.018331,7.952075,5.952075,2016nf7 (2weeks),5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,110.0000,0.0000,0.0000,0.0000,0.0000,4.0000,4,2,0,0,0,0,88,0,0,0,0,3,1.250000,0.000000,0.000000,0.000000,0.000000,0.000000,1.250000,0.000000,0.000000,0.000000
1330083,1330083,PROCESSED MEAT,HOT DOGS & CORN DOGS,"HOT DOGS, BEEF, FROZEN","HOT DOG, ALL-BEEF 4:1 6"" ROLLER GRILL COOKED FROZEN",2.5,N,40,693,16478.84000000,2290.0000,7.196000,22900.00,0.719600,14663.44000000,6.403249,0.640325,6.403249,7.196000,2290.00,-5725.00,-2.500000,30.913131,24.509882,13.599249,11.099249,2016nf7 (2weeks),11.0000,12.0000,0.0000,0.0000,0.0000,0.0000,276.0000,0.0000,0.0000,0.0000,0.0000,19.0000,7,7,0,0,0,0,128,0,0,0,0,9,1.571429,1.714286,0.000000,0.000000,0.000000,0.000000,2.156250,0.000000,0.000000,0.000000
3938214,3938214,PORK,"HAM, BONELESS, SMOKED/CURED","HAM, BONELESS, NATURAL JUICE OR NATURALLY CURED, REFRIGERATED","HAM, BONELESS D-SHAPED SMOKED APPLEWOOD REF DELI-FACED ALL NATURAL PORK",0.4,Y,54,1009,16735.98895330,2261.5000,7.400393,36189.63,0.462453,27862.67000000,12.320438,0.769908,0.769908,0.462453,2261.50,-14472.89,-0.399918,4.027606,3.257699,1.232361,0.832443,2016nf7 (2weeks),4.0000,3.0000,0.0000,0.0000,0.0000,0.0000,78.0000,0.0000,0.0000,0.0000,0.0000,1.0000,4,3,0,0,0,0,61,0,0,0,0,1,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.278689,0.000000,0.000000,0.000000
4681433,4681433,DAIRY,BUTTER,"BUTTER, REFRIGERATED","BUTTER, SOLID AA UNSALTED REF",4,N,10,964,11712.75000000,2231.0000,5.250000,66930.00,0.175000,17953.76000000,8.047405,0.268247,8.047405,5.250000,2231.00,-8924.00,-4.000000,80.370117,72.322712,13.297405,9.297405,2016nf7 (2weeks),5.0000,2.0000,0.0000,0.0000,0.0000,0.0000,69.0000,0.0000,0.0000,0.0000,0.0000,6.0000,5,2,0,0,0,0,56,0,0,0,0,5,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.232143,0.000000,0.000000,0.000000
1033752,1033752,POULTRY,"CHICKEN, FURTHER PROCESSED, REF & FZN","CHICKEN, WING & WING SECTIONS, BATTERED, BREADED, COOKED, FROZEN","CHICKEN, WING 1ST-&-2ND-JOINT BREADED HOT & SPICY 12-16 COUNT COOKED FROZEN",3,N,28,424,14754.05369081,2183.0000,6.758614,32745.00,0.450574,6562.21000000,3.006051,0.200403,3.006051,6.758614,2184.00,-6549.00,-3.000000,51.337013,50.393633,9.764665,6.764665,2016nf7 (2weeks),3.0000,2.0000,0.0000,0.0000,0.0000,0.0000,51.0000,0.0000,0.0000,0.0000,0.0000,7.0000,2,2,0,0,0,0,33,0,0,0,0,3,1.500000,1.000000,0.000000,0.000000,0.000000,0.000000,1.545455,0.000000,0.000000,0.000000
7330095,7330095,PROCESSED MEAT,HOT DOGS & CORN DOGS,"HOT DOGS, BEEF, FROZEN","HOT DOG, ALL-BEEF 8:1 6"" ROLLER GRILL COOKED FROZEN",2.5,N,47,640,15320.28400000,2129.0000,7.196000,21290.00,0.719600,12419.98000000,5.833715,0.583372,5.833715,7.196000,2129.00,-5322.50,-2.500000,30.353156,24.519441,13.029715,10.529715,2016nf7 (2weeks),13.0000,37.0000,0.0000,0.0000,0.0000,0.0000,305.0000,0.0000,0.0000,0.0000,0.0000,15.0000,6,5,0,0,0,0,160,0,0,0,0,7,2.166667,7.400000,0.000000,0.000000,0.000000,0.000000,1.906250,0.000000,0.000000,0.000000
9855909,9855909,DISPOSABLES,"STRAWS, STIRRERS, STEAK MARKERS, SKEWERS & OTHER",STRAWS,"STRAW, JUMBO 7.75"" TRANSLUCENT WRAPPED PAPER STANDARD POLYPROPYLENE BOX",4,N,53,1702,17664.58335680,1970.0000,8.966794,9987.90,1.768598,12153.74000000,6.169411,1.216846,6.169411,8.966794,1970.00,-7880.00,-4.000000,28.178990,22.009579,15.136205,11.136205,2016nf7 (2weeks),33.0000,23.7000,0.0000,0.0000,0.0000,0.0000,399.2000,0.0000,0.0000,0.0000,0.0000,31.1000,35,25,0,0,0,0,378,0,0,0,0,32,0.942857,0.948000,0.000000,0.000000,0.000000,0.000000,1.056085,0.000000,0.000000,0.000000
7779077,7779077,"PRODUCE, FRESH","LETTUCE, SPINACH & MICRO GREENS, FRESH","LETTUCE, ICEBERG, FRESH, VALUE ADDED","LETTUCE, ICEBERG GREEN LEAF BETTER BURGER BULK FRESH REF",2,N,14,527,4871.67535045,1326.0000,3.673963,13260.00,0.367396,5232.20000000,3.945852,0.394585,3.945852,3.673963,1327.00,-2652.00,-2.000000,22.197308,18.251456,7.619815,5.619815,2016nf7 (2weeks),2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,48.0000,0.0000,0.0000,0.0000,0.0000,2.0000,2,1,0,0,0,0,44,0,0,0,0,2,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.090909,0.000000,0.000000,0.000000
3340510,3340510,CHEESE,"CHEESE, PROCESSED","CHEESE, PASTEURIZED/PROCESSED, SLICES","CHEESE, AMERICAN SLICED 120 COUNT TFF PROCESSED YELLOW REF",4,N,7,522,7882.57818759,1222.5000,6.447917,24450.00,0.322396,9458.44000000,7.736965,0.386848,7.736965,6.447917,1222.50,-4884.00,-3.995092,43.599681,35.862716,14.184882,10.189790,2016nf7 (2weeks),4.2500,7.0000,0.0000,0.0000,0.0000,0.0000,49.5000,0.0000,0.0000,0.0000,0.0000,5.0000,3,5,0,0,0,0,44,0,0,0,0,4,1.416667,1.400000,0.000000,0.000000,0.000000,0.000000,1.125000,0.000000,0.000000,0.000000
2327302,2327302,BEEF,"BEEF, GROUND","BEEF, PATTIES, RAW, FROZEN","BEEF, PATTY GROUND 80/20 4:1 HOMESTYLE RAW FROZEN",1.5,N,15,290,2107.06053553,1177.0000,1.790196,11770.00,0.179020,8483.80000000,7.207986,0.720799,7.207986,1.790196,1177.00,-1765.50,-1.500000,31.166024,23.958037,8.998182,7.498182,2016nf7 (2weeks),0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,205.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0,1,0,0,0,0,66,0,0,0,0,3,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,3.106061,0.000000,0.000000,0.000000
1632758,1632758,PROCESSED MEAT,HOT DOGS & CORN DOGS,"HOT DOGS, BEEF, FROZEN","HOT DOG, ALL-BEEF 8:1 6"" ROLLER GRILL SKINLESS COOKED FROZEN BULK",2.5,N,7,343,7467.81826321,1035.0000,7.215283,10350.00,0.721528,6010.09000000,5.806850,0.580685,5.806850,7.215283,1036.00,-2587.50,-2.500000,30.180174,24.373324,13.022133,10.522133,2016nf7 (2weeks),1.0000,11.0000,0.0000,0.0000,0.0000,0.0000,191.0000,0.0000,0.0000,0.0000,0.0000,7.0000,1,5,0,0,0,0,69,0,0,0,0,4,1.000000,2.200000,0.000000,0.000000,0.000000,0.000000,2.768116,0.000000,0.000000,0.000000
4681383,4681383,DAIRY,BUTTER,"BUTTER, REFRIGERATED","BUTTER, SOLID AA SALTED REF",4,N,10,415,4331.25000000,825.0000,5.250000,24750.00,0.175000,8024.10000000,9.726182,0.324206,9.726182,5.250000,825.00,-3300.00,-4.000000,81.321806,71.595624,14.976182,10.976182,2016nf7 (2weeks),4.0000,4.0000,0.0000,0.0000,0.0000,0.0000,38.0000,0.0000,0.0000,0.0000,0.0000,1.0000,4,4,0,0,0,0,30,0,0,0,0,2,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.266667,0.000000,0.000000,0.000000
